name,full_name,e3_family,pdb_ids,pdb_count,ligand_type,binding_site,protac_suitability,druggability,priority_tier,rationale,biological_relevance,clinical_potential
RNF213,RING Finger Protein 213 (Mysterin),RING (atypical),7VER; 7VES,2,"Nucleotide analog, fragment",AAA+ ATPase domain,"LOW-MEDIUM - large protein, ATP site not ideal for PROTAC, but stroke/Moyamoya disease relevance",TIER_3,3,Giant E3 ligase with ATPase domain; vascular disease target; ATP site binding but challenging for selective PROTAC ligand,"Vascular development, lipid metabolism","Moyamoya disease, stroke"
BIRC2,Baculoviral IAP Repeat Containing 2 (cIAP2),RING,5C7F; 5C7G; 5BOR,3,BIR domain inhibitor (not RING),BIR3 domain (substrate recognition),"HIGH - validated chemistry (Smac mimetics), apoptosis/NF-κB biology, clinical precedent",TIER_1,1,Sister to cIAP1; extensive chemical matter from Smac mimetic programs; clinical validation; BIR domain offers distinct binding vs RING,"Apoptosis inhibition, NF-κB signaling",Cancer (apoptosis restoration)
BIRC3,Baculoviral IAP Repeat Containing 3 (cIAP2 isoform/MALT1-associated),RING,3D9T; 3D9U,2,"Fragment, peptidomimetic",BIR domains,"MEDIUM - overlaps with cIAP1/2 chemistry, distinct expression pattern",TIER_2,2,IAP family member; shares chemical space with cIAP1/2 but distinct tissue expression; lymphoma relevance,"Apoptosis, immune signaling (ABC-DLBCL)","Lymphoma, leukemia"
FBXW7,F-Box and WD Repeat Domain Containing 7 (Cdc4),CRL1 (SCF complex),2OVP; 2OVQ; 2OVR,3,"Peptide mimetic, molecular glue",WD40 domain (substrate recognition),"HIGH - tumor suppressor, substrate recognition druggable, molecular glue precedent",TIER_1,1,"Most commonly mutated E3 in cancer; WD40 domain offers molecular glue potential (like CRBN); cyclin E, c-Myc, Notch degradation","Cyclin E, c-Myc, Notch, mTOR degradation","Cancer (oncogene degradation, tumor suppressor restoration)"
FBXL3,F-Box and Leucine Rich Repeat Protein 3,CRL1 (SCF complex),4I6J; 4I6G,2,Fragment,Leucine-rich repeat domain,"MEDIUM - circadian biology, fragment hits available, LRR domain targeting emerging",TIER_2,2,Circadian clock regulator; CRY protein degradation; metabolic disease relevance; fragment screening hits,"Circadian rhythm, CRY degradation","Sleep disorders, metabolic syndrome"
FBXO3,F-Box Protein 3 (FBX3),CRL1 (SCF complex),5C7B; 5C7C,2,Substrate competitive inhibitor,F-box substrate binding domain,"MEDIUM-HIGH - immune regulation, FBXO3 inhibitors in clinical development (BC-1382)",TIER_1,1,Clinical-stage FBXO3 inhibitors exist (inflammation/sepsis); validated druggability; TNF-α pathway regulation,"TNF-α signaling, inflammation","Sepsis, inflammatory disease, cancer"
FBXO4,F-Box Protein 4,CRL1 (SCF complex),3SXN; 3SXM,2,Fragment,F-box substrate recognition,"MEDIUM - cyclin D1 regulation, cancer biology",TIER_2,2,Cyclin D1 E3 ligase; cancer target; fragment hits but less advanced than FBXW7/FBXO3,"Cyclin D1 degradation, cell cycle",Cancer (cyclin D1-driven tumors)
BTRC,Beta-Transducin Repeat Containing E3 Ubiquitin Protein Ligase (β-TrCP1),CRL1 (SCF complex),1P22; 1P23; 1P24,3,"Peptidomimetic, small molecule fragment",WD40 repeat domain,"HIGH - Wnt/NF-κB signaling, β-catenin degradation, WD40 druggability emerging",TIER_1,1,"Critical Wnt pathway regulator; β-catenin, IκBα degradation; cancer/inflammation target; WD40 domain tractable","Wnt signaling, NF-κB, β-catenin/IκBα degradation","Cancer (Wnt-driven), inflammation"
FBXL19,F-Box and Leucine Rich Repeat Protein 19,CRL1 (SCF complex),5V3B; 5V3C,2,Fragment,Leucine-rich repeat substrate recognition,"MEDIUM - epigenetic regulation (targets H2AK119ub), cancer biology",TIER_2,2,Regulates histone ubiquitination; cancer epigenetics; fragment-to-lead opportunity,"Histone H2A ubiquitination, chromatin regulation",Cancer (epigenetic therapy)
CUL4A-DDB2,Cullin 4A - DNA Damage Binding Protein 2 complex,CRL4 (DDB2 substrate receptor),4A0K; 4A0L,2,"Fragment, UV-damaged DNA mimetic",DDB2 WD40 domain (damaged DNA recognition),"MEDIUM - DNA repair biology, WD40 domain druggability",TIER_2,2,Nucleotide excision repair; p53 regulation; WD40 domain offers molecular glue potential; cancer therapy resistance,"DNA damage recognition, NER pathway, p53 regulation","Cancer (UV-induced, therapy resistance)"
UBR5,Ubiquitin Protein Ligase E3 Component N-Recognin 5 (EDD),HECT,6T7S; 6T7T,2,Covalent inhibitor,HECT catalytic domain,"HIGH - oncogenic HECT ligase, DNA damage response, validated inhibitors",TIER_1,1,Oncogenic HECT ligase; validated covalent inhibitors; DNA damage/replication stress response; ovarian/breast cancer target,"DNA damage response, replication stress","Ovarian cancer, breast cancer, DNA repair defects"
TRIP12,Thyroid Hormone Receptor Interactor 12,HECT,6V5Y; 6V5Z,2,Fragment,HECT catalytic lobe,"MEDIUM - emerging HECT target, DNA damage/ribosome quality control",TIER_2,2,Large HECT ligase; regulates ribosomal proteins and AAA ATPases; cancer associations; early-stage fragment hits,"Ribosome quality control, AAA ATPase regulation",Cancer (proteotoxic stress)
HECTD1,HECT Domain E3 Ubiquitin Protein Ligase 1,HECT,6N0A; 6N0B,2,"Fragment, allosteric inhibitor",HECT catalytic domain,"MEDIUM - Wnt signaling regulation, emerging druggability",TIER_2,2,Wnt pathway regulation; Dishevelled degradation; cancer/development; HECT druggability validated in class,"Wnt signaling, Dishevelled degradation","Cancer (Wnt-driven), developmental disorders"
HACE1,HECT Domain and Ankyrin Repeat Containing E3 Ubiquitin Protein Ligase 1,HECT,4BBW; 4BBX,2,Fragment (substrate recognition domain),Ankyrin repeat domain,"MEDIUM - tumor suppressor, Rac1 degradation, PPI targeting",TIER_2,2,Tumor suppressor HECT ligase; Rac1 GTPase regulation; cancer metastasis; ankyrin domain PPI targeting,"Rac1 regulation, cell migration, tumor suppression",Cancer (metastasis prevention)
RNF38,RING Finger Protein 38,RING,6M8F; 6M8G,2,Fragment,RING domain,"MEDIUM - ER stress response, fragment hits available",TIER_2,3,ER-associated degradation (ERAD); UPR signaling; metabolic disease; early fragment screening,"ERAD, ER stress response","Metabolic disease, protein folding disorders"
RNF216,RING Finger Protein 216 (Triad3A),RING,5T19; 5T1A,2,Fragment,RING domain,"MEDIUM - immune signaling (TLR/RIG-I regulation), neurodegeneration",TIER_2,3,Innate immune regulator; Gordon Holmes syndrome mutations; TLR pathway; fragment screening stage,"Innate immunity, TLR/RIG-I signaling","Autoimmunity, infection, Gordon Holmes syndrome"
RNF111,RING Finger Protein 111 (Arkadia),RING,6F1G; 6F1H,2,Fragment,RING domain,"MEDIUM - TGF-β/Nodal signaling, development, fragment hits",TIER_2,3,TGF-β pathway; Nodal/Smad7 regulation; embryonic development and cancer; early druggability exploration,"TGF-β/Nodal signaling, development","Cancer, developmental disorders"
